Species	12SRRN	16SRRN	28SRRN	ATP6	ATP8	BDNF	COX1	COX2	COX3	CXCR4	CYTB	NAD1	NAD2	NAD3	NAD4	NAD4L	NAD5	NAD6	NCX1	POMC	RAG1	RAG2	RHOD	SIA	SLC8A3	TYR
Allobates_trilineatus	EU342560.1	EU342560.1	DQ502938.1	-	-	-	DQ502826.1	-	-	-	DQ339070.1	-	-	-	-	-	-	-	-	AY819088.1	DQ503290.1	-	DQ503184.1	DQ503045.1	-	-
Allobates_undulatus	-	-	DQ283464.1	-	-	-	DQ502757.1	-	-	-	DQ502460.1	-	-	-	-	-	-	-	-	-	DQ503308.1	-	DQ283773.1	DQ282656.1	-	-
Allobates_zaparo	AY364579.1	HQ291003.1	DQ502955.1	-	-	HQ290640.1	DQ502752.1	-	-	-	HQ290580.1	HQ291003.1	HQ291003.1	-	-	-	-	-	HQ290760.1	HQ290880.1	DQ503305.1	-	DQ503192.1	DQ503055.1	-	HQ290940.1
Allophryne_relicta	KF582053.1	KF582053.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allophryne_resplendens	-	JQ436698.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allophryne_ruthveni	AY843564.1	AY843564.1	-	-	-	-	-	-	-	KF534373.1	AY843786.1	-	-	-	-	-	-	-	KF534112.1	AY819077.1	EU663432.1	-	AY844538.1	AY844766.1	KF534194.1	KC604076.1
Alsodes_australis	-	-	-	-	-	-	-	-	-	-	EU022574.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alsodes_barrioi	JX204155.1	JX204155.1	-	-	-	-	JX203875.1	-	-	-	JX203942.1	JX204007.1	-	-	-	-	-	-	-	-	JX204063.1	-	JX204091.1	JX204226.1	-	-
Alsodes_coppingeri	JX204161.1	JX204161.1	-	-	-	-	JX203880.1	-	-	-	JX203948.1	JX204011.1	-	-	-	-	-	-	-	-	JX204066.1	-	JX204097.1	JX204232.1	-	-
Alsodes_gargola	JX564852.1	JX564852.1	AY844197.1	JX564852.1	JX564852.1	-	JX564852.1	JX564852.1	JX564852.1	-	JX203951.1	JX564852.1	JX564852.1	JX564852.1	JX564852.1	JX564852.1	JX564852.1	JX564852.1	-	-	AY844362.1	-	JX204101.1	JX204236.1	-	-
Alsodes_hugoi	JX204169.1	JX204169.1	-	-	-	-	JX203886.1	-	-	-	JX203956.1	-	-	-	-	-	-	-	-	-	JX204070.1	-	JX204102.1	JX204237.1	-	-
Alsodes_igneus	JX204172.1	JX204172.1	-	-	-	-	JX203889.1	-	-	-	JX203957.1	JX204016.1	-	-	-	-	-	-	-	-	JX204072.1	-	JX204105.1	JX204240.1	-	-
Alsodes_kaweshkari	-	-	-	-	-	-	-	-	-	-	EU022575.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alsodes_monticola	AY326016.1	AY326016.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alsodes_neuquensis	JX204173.1	JX204173.1	-	-	-	-	JX203891.1	-	-	-	-	JX204017.1	-	-	-	-	-	-	-	KP295561.1	JX204073.1	-	JX204106.1	-	-	-
Alsodes_nodosus	JX204174.1	KJ418839.1	-	-	-	-	-	-	-	-	KJ418851.1	JX204018.1	-	-	-	-	-	-	-	-	-	-	JX204107.1	KJ418869.1	-	-
Alsodes_norae	JX204175.1	JX204175.1	-	-	-	-	JX203892.1	-	-	-	JX203961.1	-	-	-	-	-	-	-	-	-	JX204074.1	-	JX204108.1	JX204242.1	-	-
